id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
18674;Rental unit in Barcelona · ★4.35 · 3 bedrooms · 6 beds · 2 baths;71615;Mireia And Maria;Eixample;la Sagrada Família;4.140.556;217.262;Entire home/apt;210;1;35;07/04/2023;0.29;28;18;8;HUTB-002062
23197;Rental unit in Sant Adria de Besos · ★4.77 · 3 bedrooms · 4 beds · 2 baths;90417;Etain (Marnie);Sant Martí;el Besòs i el Maresme;41.412.906.646.728.500;2.220.633.029.937.740;Entire home/apt;250;4;72;29/05/2023;0.48;2;185;13;HUTB005057
41952;Rental unit in Barcelona · ★4.35 · 2 bedrooms · 4 beds · 2 baths;183340;Teresa;Gràcia;el Camp d'en Grassot i Gràcia Nova;4.140.568;216.943;Entire home/apt;172;3;66;26/05/2023;0.49;5;269;22;HUTB-003549
32711;Rental unit in Barcelona · ★4.43 · 2 bedrooms · 3 beds · 1.5 baths;135703;Nick;Gràcia;el Camp d'en Grassot i Gràcia Nova;4.140.566;217.015;Entire home/apt;186;2;91;22/03/2023;0.63;3;256;24;HUTB-001722
46153;Rental unit in Barcelona · ★4.20 · 2 bedrooms · 3 beds · 1 bath;90417;Etain (Marnie);Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4.138.956;217.759;Entire home/apt;63;31;5;31/07/2022;0.03;2;176;1;Exempt
49968;Rental unit in Barcelona · ★4.56 · 2 bedrooms · 7 beds · 1 bath;135703;Nick;Gràcia;el Camp d'en Grassot i Gràcia Nova;414.057;217.016;Entire home/apt;203;1;76;06/06/2023;0.53;3;257;23;HUTB-001723
71520;Rental unit in Barcelona · 3 bedrooms · 5 beds · 3.5 baths;366428;Ariadna;Gràcia;Vallcarca i els Penitents;4.141.841;213.307;Entire home/apt;250;5;1;23/06/2011;0.01;1;57;0;HUTB-007966
71553;Rental unit in Barcelona · ★4.20 · 1 bedroom · 1 bed · 1.5 baths;366654;Watermelon Barcelona Apartments;Eixample;la Dreta de l'Eixample;4.139.705;217.469;Entire home/apt;186;3;78;06/05/2023;0.52;4;136;11;HUTB-002424
71736;Rental unit in Barcelona · ★4.0 · 4 bedrooms · 5 beds · 1.5 baths;368317;Nacharosa;Ciutat Vella;el Raval;4.138.174;216.663;Entire home/apt;68;28;11;14/07/2016;0.07;7;344;0;
34981;Rental unit in Barcelona · ★4.52 · 4 bedrooms · 6 beds · 3 baths;73163;Andres;Ciutat Vella;el Barri Gòtic;4.137.978;217.623;Entire home/apt;460;5;205;07/06/2023;1.33;1;0;30;HUTB-150671
68547;Rental unit in Barcelona · ★4.74 · 1 bedroom · 2 beds · 2 baths;340570;Atún;Ciutat Vella;el Barri Gòtic;413.806;217.796;Private room;200;31;93;10/08/2021;0.63;2;289;0;
36763;Rental unit in Barcelona · ★4.79 · 1 bedroom · 1 bed · 1 shared bath;158596;Ester;Ciutat Vella;la Barceloneta;4.138.043;219.094;Private room;30;31;105;26/05/2023;0.74;1;159;17;
330957;Rental unit in Barcelona · ★4.75 · 3 bedrooms · 4 beds · 1 bath;893805;Phil And Fiona;Eixample;la Dreta de l'Eixample;4.139.782.414.629.110;2.170.576.755.958.840;Entire home/apt;200;2;543;04/06/2023;3.96;13;265;69;HUTB-010749
72436;Serviced apartment in Barcelona · ★4.75 · 1 bedroom · 2 beds · 1 bath;375625;Xavier;Sant Martí;el Poblenou;4.139.909;220.733;Entire home/apt;287;1;696;05/06/2023;6.49;6;197;155;HUTB-000173
72793;Rental unit in Barcelona · 2 bedrooms · 2 beds · 1 bath;368317;Nacharosa;Ciutat Vella;el Raval;4.138.104;216.565;Entire home/apt;60;28;2;27/08/2014;0.02;7;344;0;
40983;Condo in Barcelona · ★4.37 · 1 bedroom · 2 beds · 1 bath;177617;Joaquin;Eixample;la Dreta de l'Eixample;4.139.631;216.832;Entire home/apt;132;2;271;25/05/2023;1.86;6;116;43;HUTB-001282
72794;Rental unit in Barcelona · ★4.33 · 1 bedroom · 1 bed · 1.5 baths;368317;Nacharosa;Ciutat Vella;el Raval;4.138.214;216.568;Entire home/apt;65;28;8;23/08/2014;0.06;7;344;0;
73683;Rental unit in Barcelona · ★4.58 · 4 bedrooms · 14 beds · 2 baths;135703;Nick;Gràcia;el Camp d'en Grassot i Gràcia Nova;4.140.554;217.017;Entire home/apt;371;2;177;23/05/2023;1.21;3;250;13;HUTB-001723
331026;Rental unit in Barcelona · ★4.71 · 1 bedroom · 1 bed · 1 shared bath;440881;Lee;Eixample;Sant Antoni;4.137.793;215.978;Private room;32;3;234;06/06/2023;1.72;1;244;36;
333190;Rental unit in Barcelona · ★4.79 · 1 bedroom · 1 bed · 1.5 shared baths;1697782;Jóse;Eixample;el Fort Pienc;4.140.131;218.191;Private room;70;32;236;31/01/2023;1.76;2;33;8;
508212;Rental unit in Barcelona · ★4.87 · 2 bedrooms · 2 beds · 1 bath;2504689;Carolina;Eixample;l'Antiga Esquerra de l'Eixample;4.139.161;215.782;Entire home/apt;174;5;113;30/05/2023;0.85;2;28;38;HUTB-003831
75003;Rental unit in Barcelona · ★4.16 · 2 bedrooms · 3 beds · 1 bath;396363;Alcambarcelona;Eixample;la Sagrada Família;4.140.399;217.802;Entire home/apt;240;2;33;05/06/2023;0.22;116;188;9;HUTB-001363
510923;Rental unit in Barcelona · ★4.54 · 3 bedrooms · 3 beds · 2 baths;2517389;Sara;Sant Andreu;el Congrés i els Indians;4.142.257;218.047;Entire home/apt;145;7;26;19/05/2023;0.21;2;91;3;HUTB-008605
335861;Rental unit in Barcelona · ★4.12 · 2 bedrooms · 3 beds · 1 bath;1221038;Mar;Sant Martí;el Poblenou;4.140.349;220.414;Entire home/apt;185;1;100;05/06/2023;0.75;3;289;9;HUTB-007075
511739;Rental unit in Barcelona · ★4.50 · 2 bedrooms · 5 beds · 1 bath;1447144;Acomodis Apartments;Eixample;la Sagrada Família;4.140.376;217.292;Entire home/apt;234;1;7;03/09/2019;0.05;141;365;0;
75411;Rental unit in Barcelona · ★4.43 · 3 bedrooms · 4 beds · 1 bath;400154;Mireia;Sant Martí;el Clot;4.140.682;218.649;Entire home/apt;172;3;74;24/05/2023;0.53;9;45;24;HUTB-000083
512666;Rental unit in Barcelona · ★4.68 · 2 bedrooms · 6 beds · 1 bath;488117;David Y Maria;Ciutat Vella;el Raval;4.137.779;216.729;Entire home/apt;276;6;67;07/04/2023;0.54;6;231;2;HUTB-003872
337755;Rental unit in Barcelona · ★4.73 · 1 bedroom · 2 beds · 1 bath;1716315;Marc;Sant Martí;la Vila Olímpica del Poblenou;4.139.253.234.863.280;219.325.590.133.667;Entire home/apt;217;1;45;19/05/2023;0.41;12;52;19;HUTB-002887
512737;Rental unit in Barcelona · ★4.84 · 2 bedrooms · 3 beds · 1 bath;488117;David Y Maria;Ciutat Vella;el Raval;4.137.701;216.663;Entire home/apt;233;6;32;28/05/2023;0.26;6;181;9;HUTB-003876
513825;Rental unit in Barcelona · ★4.66 · 3 bedrooms · 4 beds · 2 baths;1093718;Alexey;Eixample;el Fort Pienc;4.140.012;21.756;Entire home/apt;214;2;77;26/05/2023;0.58;13;205;16;HUTB-006895
342641;Guest suite in St Cugat del Vallès · ★4.73 · 1 bedroom · 2 beds · 1 bath;1738696;Estela;Sarrià-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes;4.142.882;210.123;Entire home/apt;150;2;107;07/06/2023;0.91;1;131;14;HUTB-007301
80004;Rental unit in Barcelona · ★4.62 · 3 bedrooms · 3 beds · 1 bath;431839;Xavier;Sants-Montjuïc;el Poble Sec;4.137.371;216.706;Entire home/apt;108;5;163;28/05/2023;1.11;1;105;22;HUTB-004026
517407;Rental unit in Barcelona · ★4.69 · 4 bedrooms · 6 beds · 2 baths;1093718;Alexey;Eixample;el Fort Pienc;414.003;217.502;Entire home/apt;280;2;141;25/05/2023;1.06;13;237;34;HUTB-006817
89756;Rental unit in Barcelona · ★4.68 · 3 bedrooms · 8 beds · 1 bath;488117;David Y Maria;Ciutat Vella;el Raval;4.137.861;216.737;Entire home/apt;386;6;23;27/05/2023;0.18;6;238;4;HUTB-013579
519494;Townhouse in Barcelona · ★4.83 · 2 bedrooms · 4 beds · 1.5 baths;2556699;Ernest;Sant Martí;la Vila Olímpica del Poblenou;4.139.095;21.964;Entire home/apt;340;2;31;14/05/2023;0.23;1;141;20;HUTB-000706
